id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	in_range_swaps	price_lower	price_upper	price_range	price_mid	wallet
67803	4	6	2	0.897218	0.817815	1.714666	0	1.715033	0.0009548750512306723	1.67	20.32	84%	68%	1.2004	1.2006	0.0002	1.2005	0x7617452156f474836604c1a79c79c0627be5fe74
168336	2	3	1	28161.140208	6152.550199	34312.404947	0	34313.690407	38.07710406973243	1.66	20.25	100%	99%	1.2002	1.2003	0.0001	1.2003	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13
113175	-3	-2	1	21771.705481	32249.609595	0	54016.522843	54021.315076	29.813183120954413	1.66	20.14	100%	100%	0.9997	0.9998	0.0001	0.9998	0xc82335bbdc978ce2e1f1c6c4f9e5bb2270bb2af1
113152	-3	-2	1	11927.735681	17995.569191	0	29920.682052	29923.304872	16.598725352636542	1.66	20.25	100%	100%	0.9997	0.9998	0.0001	0.9998	0x5957145fab56dfe5af988a4f55eda4b205922c1d
45410	-3	-2	1	17109.060069	1436.642132	6421.398546	12121.488628	18545.702201	10.240595593246182	1.66	20.15	100%	100%	0.9997	0.9998	0.0001	0.9998	0xedeed75328937a17749c1a59772e2ec79eb51314
67526	4	5	1	10518.51281	1188.634254	0	11711.934621	11707.147064	6.496930641305591	1.66	20.26	100%	100%	1.2004	1.2005	0.0001	1.2005	0xf87e0a571bfc9fa98bc44442e0084fcbfdc7af39
168338	2	3	1	2406.2445	525.708121	2931.842783	0	2931.952621	3.2515667880349244	1.66	20.24	100%	99%	1.2002	1.2003	0.0001	1.2003	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13
101985	1	2	1	299707.549403	150000	140758.575577	308972.979713	449707.549403	247.40278489082854	1.65	20.08	100%	100%	1.2001	1.2002	0.0001	1.2002	0x02bb11ac6121de64fb931219712eb0073c182174
45937	-3	-2	1	15109.042618	27888.264325	7361.461286	35634.13318	42997.306943	117.89366075862169	1.65	20.02	97%	93%	0.9997	0.9998	0.0001	0.9998	0x3352cfe4b92b354c9e56382a6fc6d7462fea9ba2
168347	2	3	1	40799.290403	8913.690299	49711.118354	0	49712.980702	54.69676838304159	1.65	20.08	100%	99%	1.2002	1.2003	0.0001	1.2003	0x7e9c187b0369c5d3e9e1eca56999b45a7c7ac062
